ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_SALES,REVENUE
10237,23,100,7,"2,333.12",4/5/2004,Shipped,2,4,2004,Motorcycles,95.00,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,SuiteNA101,NYC,NY,10022,USA,NA,Frick,Michael,Small,2300,52900
10251,28,100,2,"3,188.64",5/18/2004,Shipped,2,5,2004,Motorcycles,95.00,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium,2800,78400
10263,34,100,2,"3,676.76",6/28/2004,Shipped,2,6,2004,Motorcycles,95.00,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,3400,115600
10275,45,92.83,1,"4,177.35",7/23/2004,Shipped,3,7,2004,Motorcycles,95.00,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,4177.35,187980.75
10285,36,100,6,"4,099.68",8/27/2004,Shipped,3,8,2004,Motorcycles,95.00,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,3600,129600
10299,23,100,9,"2,597.39",9/30/2004,Shipped,3,9,2004,Motorcycles,95.00,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,2300,52900
10309,41,100,5,"4,394.38",10/15/2004,Shipped,4,10,2004,Motorcycles,95.00,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,4100,168100
10318,46,94.74,1,"4,358.04",11/2/2004,Shipped,4,11,2004,Motorcycles,95.00,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,4358.04,200469.84
10329,42,100,1,"4,396.14",11/15/2004,Shipped,4,11,2004,Motorcycles,95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,4200,176400
10341,41,100,9,"7,737.93",11/24/2004,Shipped,4,11,2004,Motorcycles,95.00,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large,4100,168100
10361,20,72.55,13,"1,451.00",12/17/2004,Shipped,4,12,2004,Motorcycles,95.00,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",LevelNA6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1451,29020
10375,21,34.91,12,733.11,2/3/2005,Shipped,1,2,2005,Motorcycles,95.00,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,733.11,15395.31
10388,42,76.36,4,"3,207.12",3/3/2005,Shipped,1,3,2005,Motorcycles,95.00,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium,3207.12,134699.04
10403,24,100,7,"2,434.56",4/8/2005,Shipped,2,4,2005,Motorcycles,95.00,S10_1678,"UK Collectables, Ltd.",171 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,2400,57600
10417,66,100,2,"7,516.08",5/13/2005,Disputed,2,5,2005,Motorcycles,95.00,S10_1678,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,6600,435600
10103,26,100,11,"5,404.62",1/29/2003,Shipped,1,1,2003,Classic Cars,214.00,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2600,67600
10112,29,100,1,"7,209.11",3/24/2003,Shipped,1,3,2003,Classic Cars,214.00,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv�gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,2900,84100
10126,38,100,11,"7,329.06",5/28/2003,Shipped,2,5,2003,Classic Cars,214.00,S10_1949,"Corrida Auto Replicas, Ltd",91 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart》,Large,3800,144400
10140,37,100,11,"7,374.10",7/24/2003,Shipped,3,7,2003,Classic Cars,214.00,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large,3700,136900
10150,45,100,8,"10,993.50",9/19/2003,Shipped,3,9,2003,Classic Cars,214.00,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large,4500,202500
10163,21,100,1,"4,860.24",10/20/2003,Shipped,4,10,2003,Classic Cars,214.00,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,SuiteNA750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium,2100,44100
10174,34,100,4,"8,014.82",11/6/2003,Shipped,4,11,2003,Classic Cars,214.00,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,3400,115600
10183,23,100,8,"5,372.57",11/13/2003,Shipped,4,11,2003,Classic Cars,214.00,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium,2300,52900
10194,42,100,11,"7,290.36",11/25/2003,Shipped,4,11,2003,Classic Cars,214.00,S10_1949,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,4200,176400
10206,47,100,6,"9,064.89",12/5/2003,Shipped,4,12,2003,Classic Cars,214.00,S10_1949,Canadian Gift Exchange Network,604 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large,4700,220900
10215,35,100,3,"6,075.30",1/29/2004,Shipped,1,1,2004,Classic Cars,214.00,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium,3500,122500
10228,29,100,2,"6,463.23",3/10/2004,Shipped,1,3,2004,Classic Cars,214.00,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium,2900,84100
10245,34,100,9,"6,120.34",5/4/2004,Shipped,2,5,2004,Classic Cars,214.00,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium,3400,115600
10258,32,100,6,"7,680.64",6/15/2004,Shipped,2,6,2004,Classic Cars,214.00,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,3200,102400
10270,21,100,9,"4,905.39",7/19/2004,Shipped,3,7,2004,Classic Cars,214.00,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",LevelNA6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,2100,44100
10280,34,100,2,"8,014.82",8/17/2004,Shipped,3,8,2004,Classic Cars,214.00,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,3400,115600
10291,37,100,11,"7,136.19",9/8/2004,Shipped,3,9,2004,Classic Cars,214.00,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,3700,136900
10304,47,100,6,"10,172.70",10/11/2004,Shipped,4,10,2004,Classic Cars,214.00,S10_1949,Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large,4700,220900
10312,48,100,3,"11,623.70",10/21/2004,Shipped,4,10,2004,Classic Cars,214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large,4800,230400
10322,40,100,1,"6,000.40",11/4/2004,Shipped,4,11,2004,Classic Cars,214.00,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium,4000,160000
10333,26,100,3,"3,003.00",11/18/2004,Shipped,4,11,2004,Classic Cars,214.00,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,2600,67600
10347,30,100,1,"3,944.70",11/29/2004,Shipped,4,11,2004,Classic Cars,214.00,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3000,90000
10357,32,100,10,"5,691.84",12/10/2004,Shipped,4,12,2004,Classic Cars,214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,3200,102400
10369,41,100,2,"4,514.92",1/20/2005,Shipped,1,1,2005,Classic Cars,214.00,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium,4100,168100
10381,36,100,3,"8,254.80",2/17/2005,Shipped,1,2,2005,Classic Cars,214.00,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large,3600,129600
10391,24,100,4,"2,416.56",3/9/2005,Shipped,1,3,2005,Classic Cars,214.00,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,LevelNA15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2400,57600
10411,23,100,9,"4,140.23",5/1/2005,Shipped,2,5,2005,Classic Cars,214.00,S10_1949,Quebec Home Shopping Network,514 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,2300,52900
10424,50,100,6,"12,001.00",5/31/2005,In Process,2,5,2005,Classic Cars,214.00,S10_1949,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,5000,250000
10107,39,99.91,5,"3,896.49",2/24/2003,Shipped,1,2,2003,Motorcycles,118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,3896.49,151963.11
10120,29,96.34,3,"2,793.86",4/29/2003,Shipped,2,4,2003,Motorcycles,118.00,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2793.86,81021.94
10134,27,100,5,"3,307.77",7/1/2003,Shipped,3,7,2003,Motorcycles,118.00,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,2700,72900
10145,37,100,9,"5,192.95",8/25/2003,Shipped,3,8,2003,Motorcycles,118.00,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,3700,136900
10159,37,100,17,"5,016.83",10/10/2003,Shipped,4,10,2003,Motorcycles,118.00,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,3700,136900
10168,27,100,4,"3,660.93",10/28/2003,Shipped,4,10,2003,Motorcycles,118.00,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2700,72900
10180,42,100,12,"4,695.60",11/11/2003,Shipped,4,11,2003,Motorcycles,118.00,S10_2016,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium,4200,176400
10188,38,96.34,4,"3,660.92",11/18/2003,Shipped,4,11,2003,Motorcycles,118.00,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,3660.92,139114.96
10201,24,100,5,"3,025.92",12/1/2003,Shipped,4,12,2003,Motorcycles,118.00,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,2400,57600
10210,23,100,2,"3,009.09",1/12/2004,Shipped,1,1,2004,Motorcycles,118.00,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,2300,52900
10223,47,100,4,"5,422.39",2/20/2004,Shipped,1,2,2004,Motorcycles,118.00,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,4700,220900
10236,22,100,1,"2,852.08",4/3/2004,Shipped,2,4,2004,Motorcycles,118.00,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small,2200,48400
10251,44,100,5,"5,756.52",5/18/2004,Shipped,2,5,2004,Motorcycles,118.00,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium,4400,193600
10263,40,100,5,"4,472.00",6/28/2004,Shipped,2,6,2004,Motorcycles,118.00,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium,4000,160000
10275,22,100,4,"2,904.44",7/23/2004,Shipped,3,7,2004,Motorcycles,118.00,S10_2016,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,2200,48400
10285,47,100,9,"6,484.59",8/27/2004,Shipped,3,8,2004,Motorcycles,118.00,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,4700,220900
10298,39,96.34,1,"3,757.26",9/27/2004,Shipped,3,9,2004,Motorcycles,118.00,S10_2016,Atelier graphique,40322555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium,3757.26,146533.14
10308,34,100,2,"4,043.96",10/15/2004,Shipped,4,10,2004,Motorcycles,118.00,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,3400,115600
10318,45,100,4,"5,566.50",11/2/2004,Shipped,4,11,2004,Motorcycles,118.00,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,4500,202500
10329,20,100,2,"3,176.00",11/15/2004,Shipped,4,11,2004,Motorcycles,118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2000,40000
10339,40,68.92,4,"2,756.80",11/23/2004,Shipped,4,11,2004,Motorcycles,118.00,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2756.8,110272
10361,26,51.15,8,"1,329.90",12/17/2004,Shipped,4,12,2004,Motorcycles,118.00,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",LevelNA6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1329.9,34577.4
10374,39,100,5,"5,288.01",2/2/2005,Shipped,1,2,2005,Motorcycles,118.00,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,3900,152100
10388,50,44.51,5,"2,225.50",3/3/2005,Shipped,1,3,2005,Motorcycles,118.00,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,2225.5,111275
10402,45,100,1,"5,833.80",4/7/2005,Shipped,2,4,2005,Motorcycles,118.00,S10_2016,Auto Canal Petit,1 47556555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,4500,202500
10417,45,100,5,"5,887.35",5/13/2005,Disputed,2,5,2005,Motorcycles,118.00,S10_2016,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,4500,202500
10107,27,100,4,"6,065.55",2/24/2003,Shipped,1,2,2003,Motorcycles,193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2700,72900
10120,46,100,2,"9,264.86",4/29/2003,Shipped,2,4,2003,Motorcycles,193.00,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,4600,211600
10134,31,100,4,"7,023.98",7/1/2003,Shipped,3,7,2003,Motorcycles,193.00,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,3100,96100
10145,33,100,8,"5,176.38",8/25/2003,Shipped,3,8,2003,Motorcycles,193.00,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium,3300,108900
10159,22,100,16,"4,132.70",10/10/2003,Shipped,4,10,2003,Motorcycles,193.00,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,2200,48400
10168,20,100,3,"4,183.00",10/28/2003,Shipped,4,10,2003,Motorcycles,193.00,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2000,40000
10180,41,100,11,"8,892.90",11/11/2003,Shipped,4,11,2003,Motorcycles,193.00,S10_4698,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large,4100,168100
10188,45,100,3,"8,714.70",11/18/2003,Shipped,4,11,2003,Motorcycles,193.00,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large,4500,202500
10201,49,100,4,"8,065.89",12/1/2003,Shipped,4,12,2003,Motorcycles,193.00,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Large,4900,240100
10210,34,100,1,"6,123.40",1/12/2004,Shipped,1,1,2004,Motorcycles,193.00,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,3400,115600
10223,49,100,3,"9,774.03",2/20/2004,Shipped,1,2,2004,Motorcycles,193.00,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,4900,240100
10237,39,100,9,"7,023.90",4/5/2004,Shipped,2,4,2004,Motorcycles,193.00,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,SuiteNA101,NYC,NY,10022,USA,NA,Frick,Michael,Large,3900,152100
10251,43,100,4,"7,078.23",5/18/2004,Shipped,2,5,2004,Motorcycles,193.00,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Large,4300,184900
10263,41,100,4,"8,336.94",6/28/2004,Shipped,2,6,2004,Motorcycles,193.00,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Large,4100,168100
10275,36,100,3,"6,901.92",7/23/2004,Shipped,3,7,2004,Motorcycles,193.00,S10_4698,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,3600,129600
10285,27,100,8,"5,438.07",8/27/2004,Shipped,3,8,2004,Motorcycles,193.00,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium,2700,72900
10299,29,100,11,"6,683.34",9/30/2004,Shipped,3,9,2004,Motorcycles,193.00,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,2900,84100
10308,20,100,1,"4,570.40",10/15/2004,Shipped,4,10,2004,Motorcycles,193.00,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium,2000,40000
10318,37,100,3,"7,667.14",11/2/2004,Shipped,4,11,2004,Motorcycles,193.00,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Large,3700,136900
10329,26,100,3,"5,868.20",11/15/2004,Shipped,4,11,2004,Motorcycles,193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium,2600,67600
10339,39,76.67,3,"2,990.13",11/23/2004,Shipped,4,11,2004,Motorcycles,193.00,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,2990.13,116615.07
10362,22,100,4,"3,664.10",1/5/2005,Shipped,1,1,2005,Motorcycles,193.00,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,2200,48400
10374,22,100,1,"3,834.38",2/2/2005,Shipped,1,2,2005,Motorcycles,193.00,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,2200,48400
10388,21,86.77,7,"1,822.17",3/3/2005,Shipped,1,3,2005,Motorcycles,193.00,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,1822.17,38265.57
10403,66,100,9,"11,886.60",4/8/2005,Shipped,2,4,2005,Motorcycles,193.00,S10_4698,"UK Collectables, Ltd.",171 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,6600,435600
10417,56,100,4,"9,218.16",5/13/2005,Disputed,2,5,2005,Motorcycles,193.00,S10_4698,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,5600,313600
10105,50,100,2,"7,208.00",2/11/2003,Shipped,1,2,2003,Classic Cars,136.00,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,5000,250000
10119,46,100,11,"5,004.80",4/28/2003,Shipped,2,4,2003,Classic Cars,136.00,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,4600,211600
10129,33,100,2,"4,398.24",6/12/2003,Shipped,2,6,2003,Classic Cars,136.00,S10_4757,"Stylish Desk Decors, Co.",171 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,3300,108900
10143,49,100,15,"5,597.76",8/10/2003,Shipped,3,8,2003,Classic Cars,136.00,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium,4900,240100
